product_id,manufacturer,product_name,category,material,width_mm,height_mm,depth_mm,weight_kg,unit_price_gbp,currency,lead_time_days,source_document
AXP-1041,FlexSeal,Fire Rated Joint Sealant,Firestop,Silicone,50,230,50,0.34,12.40,GBP,5,flexseal_products.pdf
AXP-1042,SolarPeak,Mono PV Panel 450,Solar,Monocrystalline silicon,1134,1909,35,23.5,148.00,GBP,32,solarpeak_450.pdf
AXP-1043,SolarPeak,Hybrid Inverter 8kW,Electrical,Steel and electronics,520,610,210,28.0,1650.00,GBP,40,solarpeak_inverters.pdf
AXP-1044,AirPure,HEPA Filter Module,HVAC,Glass fibre,610,610,292,14.2,116.00,GBP,-5,airpure_filters.pdf
AXP-1045,QuietBuild,Acoustic Ceiling Tile,Ceiling,Mineral fibre,600,600,15,3.2,11.75,GBP,13,quietbuild_ceiling.pdf
AXP-1046,QuietBuild,Acoustic Ceiling Tile,Ceilings,Mineral fiber,600,600,15,3.2,11.75,GBP,13,quietbuild_ceiling.pdf
AXP-1047,ParkLine,Bicycle Rack Five Space,External works,Stainless steel,1800,800,650,34.0,245.00,GBP,17,parkline_street.pdf
AXP-1048,ParkLine,Timber Bench 1800,Landscape,Timber and steel,1800,450,520,48.0,390.00,GBP,21,parkline_street.pdf
AXP-1049,AccessWay,Automatic Sliding Door,Entrance,Aluminium and glass,1800,2400,140,175.0,2750.00,GBP,45,accessway_automatic.pdf
,AccessWay,Accessible Threshold,Door accessory,Aluminium,1000,15,120,2.8,42.00,GBP,12,accessway_thresholds.pdf
AXP-1051,Aster Build Systems,,Window,Aluminium,1500,1500,95,47.0,not available,GBP,21,aster_windows_2026.pdf
AXP-1052,NovaDoor Works,Compact Internal Door,Door,Oak,-813,1981,40,24.5,242.00,GBP,14,novadoor_catalogue.pdf
AXP-1053,TerraTile Industries,Metro Wall Tile,Wall tile,Ceramic,300,600,8,,19.50,EUR,10,terratile_price_list.xlsx
